"File Name",ID,Offset,Message,Notes
,0xAC,,"You got the yellow potion! Drink it to restore all of your hearts. It will be in your Item menu. Tap it to use it, but you can only use it once.",
,0xAD,,"You got some Sand of Hours! One minute is added to the Phantom Hourglass!",
,0xAE,,"NO MESSAGE",
,0xAF,,"You got the ship part! Go to the shipyard to customize your ship! Check the Collection screen.",
,0xB0,,"You picked up the 10 Rupoor! You lost 10 Rupees!",
,0xB1,,"You picked up the 50 Rupoor! You lost 50 Rupees!",
,0xB2,,"You got some Sand of Hours! Your hourglass gained 30 seconds!",
,0xB3,,"You got some Sand of Hours! Your hourglass gained 10 seconds!",
,0xB4,,"NO MESSAGE",
,0xB5,,"Did you get an unknown item? It must not be ready yet!",
,0xB6,,"Hello Hello Hello",
,0xB7,,"Mercay Island",
,0xB8,,"Isle of Ember",
,0xB9,,"Isle of Gust",
,0xBA,,"Molida Island",
,0xBB,,"Isle of Frost",
,0xBC,,"Goron Island",
,0xBD,,"Isle of Ruins",
,0xBE,,"Cannon Island",
,0xBF,,"Bannan Island",
,0xC0,,"Isle of the Dead",
,0xC1,,"Zauz's Island",
,0xC2,,"Spirit Island",
,0xC3,,"Harrow Island",
,0xC4,,"Maze Island",
,0xC5,,"Uncharted Island",
,0xC6,,"NO MESSAGE",
,0xC7,,"Dee Ess Island",
,0xC8,,"Beedle's Ship",
,0xC9,,"Traveler's Ship",
,0xCA,,"Ghost Ship",
,0xCB,,"NO MESSAGE",
,0xCC,,"NO MESSAGE",
,0xCD,,"NO MESSAGE",
,0xCE,,"NO MESSAGE",
,0xCF,,"NO MESSAGE",
,0xD0,,"NO MESSAGE",
,0xD1,,"NO MESSAGE",
,0xD2,,"NO MESSAGE",
,0xD3,,"NO MESSAGE",
,0xD4,,"NO MESSAGE",
,0xD5,,"NO MESSAGE",
,0xD6,,"NO MESSAGE",
,0xD7,,"NO MESSAGE",
,0xD8,,"NO MESSAGE",
,0xD9,,"NO MESSAGE",
,0xDA,,"NO MESSAGE",
,0xDB,,"NO MESSAGE",
,0xDC,,"NO MESSAGE",
,0xDD,,"NO MESSAGE",
,0xDE,,"NO MESSAGE",
,0xDF,,"NO MESSAGE",
,0xE0,,"NO MESSAGE",
,0xE1,,"NO MESSAGE",
,0xE2,,"Ghost Ship",
,0xE3,,"Ghost Ship",
,0xE4,,"NO MESSAGE",
,0xE5,,"NO MESSAGE",
,0xE6,,"NO MESSAGE",
,0xE7,,"NO MESSAGE",
,0xE8,,"NO MESSAGE",
,0xE9,,"NO MESSAGE",
,0xEA,,"NO MESSAGE",
,0xEB,,"NO MESSAGE",
,0xEC,,"NO MESSAGE",
,0xED,,"NO MESSAGE",
,0xEE,,"NO MESSAGE",
,0xEF,,"WHO GOES THERE?",
,0xF0,,"I HAVE YOU NOW!",
,0xF1,,"I'LL GET YOU!",
,0xF2,,"STOP THERE!",
,0xF3,,"YOU WILL NOT GET AWAY!",
,0xF4,,"Erase everything? Yes No",
,0xF5,,"You can't write on this map.",
,0xF6,,"Save your progress? Yes No",
,0xF7,,Saving...,
,0xF8,,"Save complete.",
,0xF9,,"You can't read it from here.",
,0xFA,,"Nothing happened.",
,0xFB,,"It appeared for just a moment, so maybe you drew the shape wrong.",
,0xFC,,"Save your progress? Yes No",
,0xFD,,"There is something written in an ancient script. You can't read it.",
,0xFE,,"Quit the minigame? Continue Quit",
,0xFF,,"There is no response. Looks like it's just a skeleton.",
,0x100,,"End the game? Yes No",
,0x101,,"Creating a file... Do not turn the power off.",
,0x102,,"Boing-oing! The number of treasure chests left here...is... X!","The X in this message is a placeholder for the number of chests currently on the floor"
,0x103,,"It'll cost you 20 Rupees to see where treasure lies. Tell me! No thanks!",
,0x104,,"That's your loss...or is it? Good luck.",
,0x105,,"You don't have any money! No funds, no deal. Begone!",
,0x106,,"This is where the treasure chests are on this floor. Look at your map!",
,0x107,,"Make a note of it on your map!",
,0x108,,"Did you take notes? I'm going to erase it now! Go ahead! Wait!",
,0x109,,"Boing-oing! There are no treasure chests on this floor...",
,0x10A,,"Step into the blue light to return to the temple's entrance.",
,0x10B,,"NO MESSAGE",
,0x10C,,"NO MESSAGE",
,0x10D,,"NO MESSAGE",
,0x10E,,"NO MESSAGE",
,0x10F,,"NO MESSAGE",
,0x110,,"NO MESSAGE",
,0x111,,"NO MESSAGE",
,0x112,,XF,"The X in this message is a placeholder for the current floor the player is on."
,0x113,,BX,"The X in this message is a placeholder for the current floor the player is on."
,0x114,,1F,
,0x115,,"To the Eastern Sea.",
,0x116,,"To the Northern Sea.",
,0x117,,"To the Southern Sea.",
,0x118,,"To the Western Sea.",
,0x119,,"To the Eastern Sea.",
,0x11A,,"To the Northern Sea.",
,0x11B,,"To the Southern Sea.",
,0x11C,,"To the Southern Sea.",
,0x11D,,"To the Western Sea.",
,0x11E,,"To the Southern Sea.",
,,,,
main_isl.bmg,0x7,,,"Mercay Island"
